"id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,-5.3644,-6.2399,-6.3967,-6.4062,-6.4062,-6.4027,-6.0048,-6,-6,-6,-6,-6,-5.3644,-6.2399,-6.3967,-6.4062,-6.4062,-6.4027,-6.0048,-6,-6,-6,-6,-6,0.0305999999999997,0.00190000000000001,-0.00739999999999963,-0.00809999999999977,-0.00809999999999977,-0.00810000000000066,-0.000399999999999956,0,0,0,0,0,0.170719170159299,0.131381708677957,0.00763231738773498,0.000654872602608858,0.000654872602608858,0.0019085207205814,-0.00215999999999976,0,0,0,0,0,-3.74086996661658e-05,-0.00122238887494272,-0.000448934723246473,-0.000415847586985985,-0.000415847586985985,-0.000427834137250372,0,0,0,0,0,0
22,-5.3346,-6.2373,-6.4034,-6.4139,-6.414,-6.4102,-6.0052,-6,-6,-6,-6,-6,-5.3346,-6.2373,-6.4034,-6.4139,-6.414,-6.4102,-6.0052,-6,-6,-6,-6,-6,0.0297999999999998,0.00259999999999927,-0.00670000000000037,-0.00769999999999982,-0.00779999999999959,-0.0074999999999994,-0.000399999999999956,0,0,0,0,0,0.164660869966616,0.136278887494268,0.00871347232464529,4.75869859946562e-06,-0.000535241301399276,0.00228341372504048,-0.00215999999999976,0,0,0,0,0,-2.53342516286352e-05,-0.00123769827947419,-0.000425417876191271,-0.000390307787789386,-0.00038998357931723,-0.000402438041332838,0,0,0,0,0,0
23,-5.3057,-6.2341,-6.4097,-6.4211,-6.4212,-6.4172,-6.0056,-6,-6,-6,-6,-6,-5.3057,-6.2341,-6.4097,-6.4211,-6.4212,-6.4172,-6.0056,-6,-6,-6,-6,-6,0.0289000000000001,0.00320000000000054,-0.00629999999999953,-0.0072000000000001,-0.0072000000000001,-0.00700000000000056,-0.000399999999999956,0,0,0,0,0,0.158593425162864,0.141049827947422,0.00852178761912962,0.000150778778938082,0.000118357931722446,0.00244380413328077,-0.00215999999999976,0,0,0,0,0,-1.70667802082793e-05,-0.00125656978889648,-0.000404097399747492,-0.000367451229539332,-0.000367140696167767,-0.000379709607413448,0,0,0,0,0,0
24,-5.2777,-6.2321,-6.4153,-6.4279,-6.428,-6.4238,-6.006,-6,-6,-6,-6,-6,-5.2777,-6.2321,-6.4153,-6.4279,-6.428,-6.4238,-6.006,-6,-6,-6,-6,-6,0.0279999999999996,0.00199999999999978,-0.00560000000000027,-0.00680000000000014,-0.00680000000000014,-0.00659999999999972,-0.000399999999999956,0,0,0,0,0,0.152906678020826,0.136456978889647,0.0101697399747478,2.51229539324556e-05,-5.9303832240688e-06,0.00233096074134635,-0.00215999999999976,0,0,0,0,0,-1.14547109312465e-05,-0.00126837780472144,-0.000385786241549911,-0.000346763084230514,-0.000346465301269429,-0.000359132971247266,0,0,0,0,0,0
25,-5.2506,-6.2294,-6.4207,-6.4343,-6.4345,-6.43,-6.0064,-6,-6,-6,-6,-6,-5.2506,-6.2294,-6.4207,-6.4343,-6.4345,-6.43,-6.0064,-6,-6,-6,-6,-6,0.0270999999999999,0.00269999999999992,-0.00539999999999985,-0.00640000000000018,-0.00649999999999995,-0.00619999999999976,-0.000399999999999956,0,0,0,0,0,0.147485471093124,0.141417780472144,0.00941862415499192,0.000116308423050442,-0.000453469873056791,0.00243329712472789,-0.00215999999999976,0,0,0,0,0,-7.6712384149131e-06,-0.00128433109626242,-0.000368695251078703,-0.000328078574742712,-0.00032750685363473,-0.000340548684881831,0,0,0,0,0,0
26,-5.2245,-6.2262,-6.4256,-6.4404,-6.4406,-6.4358,-6.0068,-6,-6,-6,-6,-6,-5.2245,-6.2262,-6.4256,-6.4404,-6.4406,-6.4358,-6.0068,-6,-6,-6,-6,-6,0.0261000000000005,0.00319999999999965,-0.00490000000000013,-0.00609999999999999,-0.00609999999999999,-0.00580000000000069,-0.000399999999999956,0,0,0,0,0,0.141707123841494,0.14571310962624,0.0104095251078696,-0.000132142525728799,-0.000189314636527018,0.00273486848817939,-0.00215999999999976,0,0,0,0,0,-5.14175514123604e-06,-0.00130325154025491,-0.000353663568721868,-0.000310969518323846,-0.000310420003653963,-0.000323808531113897,0,0,0,0,0,0
27,-5.1992,-6.2224,-6.4301,-6.4461,-6.4463,-6.4413,-6.0072,-6,-6,-6,-6,-6,-5.1992,-6.2224,-6.4301,-6.4461,-6.4463,-6.4413,-6.0072,-6,-6,-6,-6,-6,0.0252999999999997,0.00380000000000003,-0.00450000000000017,-0.00570000000000004,-0.00570000000000004,-0.00549999999999962,-0.000399999999999956,0,0,0,0,0,0.137134175514122,0.150845154025491,0.0110663568721859,0.000316951832384426,0.000262000365396062,0.00268085311139182,-0.00215999999999976,0,0,0,0,0,-3.44355509802556e-06,-0.00132572762892266,-0.000340254803037718,-0.000295589907572967,-0.000295060812531346,-0.000308502385751476,0,0,0,0,0,0
28,-5.1748,-6.2181,-6.4343,-6.4516,-6.4518,-6.4466,-6.0076,-6,-6,-6,-6,-6,-5.1748,-6.2181,-6.4343,-6.4516,-6.4518,-6.4466,-6.0076,-6,-6,-6,-6,-6,0.0244,0.00430000000000064,-0.00419999999999998,-0.00549999999999962,-0.0055000000000005,-0.00530000000000008,-0.000399999999999956,0,0,0,0,0,0.132104355509802,0.15579276289227,0.0113454803037719,-0.000141009242701277,-0.000193918746868119,0.00223023857514719,-0.00215999999999976,0,0,0,0,0,-2.31101581760606e-06,-0.00135115610551109,-0.000328078574742712,-0.000281297307140841,-0.000280787590172383,-0.000294268501790825,0,0,0,0,0,0
29,-5.1513,-6.2152,-6.4383,-6.4567,-6.457,-6.4515,-6.008,-6,-6,-6,-6,-6,-5.1513,-6.2152,-6.4383,-6.4567,-6.457,-6.4515,-6.008,-6,-6,-6,-6,-6,0.0235000000000003,0.00289999999999946,-0.00399999999999956,-0.00509999999999966,-0.00519999999999943,-0.00490000000000013,-0.000399999999999956,0,0,0,0,0,0.127131101581762,0.150775610551106,0.0112078574742736,0.000589730714085938,-1.24098275856403e-06,0.00296685017908181,-0.00215999999999976,0,0,0,0,0,-1.55623097853588e-06,-0.00136829333485724,-0.00031678311385779,-0.000268516573716974,-0.000267778755777831,-0.000281552427660573,0,0,0,0,0,0
30,-5.1286,-6.2118,-6.442,-6.4616,-6.462,-6.4562,-6.0084,-6,-6,-6,-6,-6,-5.1286,-6.2118,-6.442,-6.4616,-6.462,-6.4562,-6.0084,-6,-6,-6,-6,-6,0.0227000000000004,0.00340000000000007,-0.00370000000000026,-0.00490000000000013,-0.00499999999999989,-0.0046999999999997,-0.000399999999999956,0,0,0,0,0,0.122735623097856,0.155189333485724,0.0116983113857776,0.000391657371696702,-0.000222124422216349,0.00277524276605891,-0.00215999999999976,0,0,0,0,0,-1.05102605845121e-06,-0.00138836348895062,-0.000306593595784128,-0.000256657996181574,-0.000255707944063979,-0.000269749706820686,0,0,0,0,0,0
